Diameter Average-Path-Length nodes initial rewiring
84 -1 824 2 0.6
57 -1 825 2 0.6
69 -1 826 2 0.6
80 -1 827 2 0.6
75 -1 828 2 0.6
74 -1 829 2 0.6
76 -1 830 2 0.6
72 -1 831 2 0.6
76 -1 832 2 0.6
62 -1 833 2 0.6
84 -1 834 2 0.6
67 -1 835 2 0.6
47 -1 836 2 0.6
58 -1 837 2 0.6
86 -1 838 2 0.6
57 -1 839 2 0.6
107 -1 840 2 0.6
85 -1 841 2 0.6
56 -1 842 2 0.6
79 -1 843 2 0.6
99 -1 844 2 0.6
89 -1 845 2 0.6
61 -1 846 2 0.6
70 -1 847 2 0.6
60 -1 848 2 0.6
85 -1 849 2 0.6
46 -1 850 2 0.6
87 -1 851 2 0.6
98 -1 852 2 0.6
73 -1 853 2 0.6
77 -1 854 2 0.6
76 -1 855 2 0.6
64 30.534278843526263 856 2 0.6
74 30.855565491444835 857 2 0.6
109 -1 858 2 0.6
102 -1 859 2 0.6
49 -1 860 2 0.6
84 -1 861 2 0.6
82 -1 862 2 0.6
65 -1 863 2 0.6
61 -1 864 2 0.6
132 42.384243202740315 865 2 0.6
79 -1 866 2 0.6
92 -1 867 2 0.6
56 -1 868 2 0.6
93 -1 869 2 0.6
80 -1 870 2 0.6
65 -1 871 2 0.6
107 44.13718808919411 872 2 0.6
62 -1 873 2 0.6
135 -1 874 2 0.6
62 -1 875 2 0.6
89 -1 876 2 0.6
54 -1 877 2 0.6
84 -1 878 2 0.6
75 -1 879 2 0.6
68 -1 880 2 0.6
81 -1 881 2 0.6
105 -1 882 2 0.6
47 -1 883 2 0.6
56 -1 884 2 0.6
90 -1 885 2 0.6
90 -1 886 2 0.6
88 -1 887 2 0.6
85 -1 888 2 0.6
77 -1 889 2 0.6
100 -1 890 2 0.6
72 -1 891 2 0.6
69 -1 892 2 0.6
65 -1 893 2 0.6
75 -1 894 2 0.6
86 -1 895 2 0.6
76 -1 896 2 0.6
78 -1 897 2 0.6
101 -1 898 2 0.6
52 -1 899 2 0.6
81 -1 900 2 0.6
79 -1 901 2 0.6
70 -1 902 2 0.6
59 -1 903 2 0.6
74 29.252766099236567 904 2 0.6
89 -1 905 2 0.6
87 -1 906 2 0.6
87 -1 907 2 0.6
71 -1 908 2 0.6
62 -1 909 2 0.6
72 -1 910 2 0.6
97 38.89271782005042 911 2 0.6
66 -1 912 2 0.6
58 -1 913 2 0.6
88 -1 914 2 0.6
76 -1 915 2 0.6
79 -1 916 2 0.6
73 -1 917 2 0.6
87 -1 918 2 0.6
84 -1 919 2 0.6
68 -1 920 2 0.6
67 32.560949818250485 921 2 0.6
87 -1 922 2 0.6
82 -1 923 2 0.6
108 34.93493126591718 924 2 0.6
58 -1 925 2 0.6
68 -1 926 2 0.6
91 -1 927 2 0.6
86 -1 928 2 0.6
54 -1 929 2 0.6
71 -1 930 2 0.6
62 -1 931 2 0.6
65 -1 932 2 0.6
99 -1 933 2 0.6
87 -1 934 2 0.6
87 -1 935 2 0.6
68 -1 936 2 0.6
102 -1 937 2 0.6
94 -1 938 2 0.6
68 -1 939 2 0.6
89 -1 940 2 0.6
115 47.07302326633052 941 2 0.6
93 -1 942 2 0.6
80 -1 943 2 0.6
74 -1 944 2 0.6
60 -1 945 2 0.6
74 -1 946 2 0.6
67 -1 947 2 0.6
51 -1 948 2 0.6
71 -1 949 2 0.6
55 -1 950 2 0.6
83 -1 951 2 0.6
53 -1 952 2 0.6
93 -1 953 2 0.6
87 -1 954 2 0.6
67 -1 955 2 0.6
69 -1 956 2 0.6
40 -1 957 2 0.6
60 -1 958 2 0.6
57 -1 959 2 0.6
52 -1 960 2 0.6
87 -1 961 2 0.6
61 -1 962 2 0.6
87 -1 963 2 0.6
63 -1 964 2 0.6
58 -1 965 2 0.6
45 -1 966 2 0.6
70 -1 967 2 0.6
91 -1 968 2 0.6
92 -1 969 2 0.6
90 -1 970 2 0.6
104 -1 971 2 0.6
90 -1 972 2 0.6
63 -1 973 2 0.6
49 -1 974 2 0.6
98 38.87451798030853 975 2 0.6
122 -1 976 2 0.6
48 -1 977 2 0.6
79 -1 978 2 0.6
79 -1 979 2 0.6
68 -1 980 2 0.6
66 -1 981 2 0.6
64 -1 982 2 0.6
63 -1 983 2 0.6
93 -1 984 2 0.6
92 -1 985 2 0.6
70 -1 986 2 0.6
81 -1 987 2 0.6
64 -1 988 2 0.6
72 -1 989 2 0.6
79 -1 990 2 0.6
66 -1 991 2 0.6
51 -1 992 2 0.6
75 -1 993 2 0.6
102 -1 994 2 0.6
100 -1 995 2 0.6
60 -1 996 2 0.6
69 -1 997 2 0.6
84 -1 998 2 0.6
70 -1 999 2 0.6
