NoInfectados Infectados Inmunes Nodos Pinfeccion Precuperacion Pinmunidad Iteraciones
184 116 0 25 0.3 0.3 0 61
191 109 0 30 0.3 0.3 0 61
201 99 0 35 0.3 0.3 0 61
192 108 0 40 0.3 0.3 0 61
177 123 0 45 0.3 0.3 0 61
180 120 0 50 0.3 0.3 0 61
187 113 0 55 0.3 0.3 0 61
171 129 0 60 0.3 0.3 0 61
177 123 0 65 0.3 0.3 0 61
186 114 0 70 0.3 0.3 0 61
172 128 0 75 0.3 0.3 0 61
187 113 0 80 0.3 0.3 0 61
173 127 0 85 0.3 0.3 0 61
166 134 0 90 0.3 0.3 0 61
172 128 0 95 0.3 0.3 0 61
191 109 0 100 0.3 0.3 0 61
189 111 0 105 0.3 0.3 0 61
187 113 0 110 0.3 0.3 0 61
182 118 0 115 0.3 0.3 0 61
200 100 0 120 0.3 0.3 0 61
178 122 0 125 0.3 0.3 0 61
179 121 0 130 0.3 0.3 0 61
193 107 0 135 0.3 0.3 0 61
183 117 0 140 0.3 0.3 0 61
163 137 0 145 0.3 0.3 0 61
300 0 0 0 0.3 0.3 0 66
172 128 0 5 0.3 0.3 0 66
172 128 0 10 0.3 0.3 0 66
185 115 0 15 0.3 0.3 0 66
195 105 0 20 0.3 0.3 0 66
194 106 0 25 0.3 0.3 0 66
193 107 0 30 0.3 0.3 0 66
186 114 0 35 0.3 0.3 0 66
194 106 0 40 0.3 0.3 0 66
184 116 0 45 0.3 0.3 0 66
201 99 0 50 0.3 0.3 0 66
172 128 0 55 0.3 0.3 0 66
182 118 0 60 0.3 0.3 0 66
176 124 0 65 0.3 0.3 0 66
188 112 0 70 0.3 0.3 0 66
151 149 0 75 0.3 0.3 0 66
172 128 0 80 0.3 0.3 0 66
181 119 0 85 0.3 0.3 0 66
171 129 0 90 0.3 0.3 0 66
177 123 0 95 0.3 0.3 0 66
180 120 0 100 0.3 0.3 0 66
177 123 0 105 0.3 0.3 0 66
166 134 0 110 0.3 0.3 0 66
197 103 0 115 0.3 0.3 0 66
192 108 0 120 0.3 0.3 0 66
187 113 0 125 0.3 0.3 0 66
194 106 0 130 0.3 0.3 0 66
180 120 0 135 0.3 0.3 0 66
171 129 0 140 0.3 0.3 0 66
189 111 0 145 0.3 0.3 0 66
300 0 0 0 0.3 0.3 0 71
177 123 0 5 0.3 0.3 0 71
177 123 0 10 0.3 0.3 0 71
187 113 0 15 0.3 0.3 0 71
188 112 0 20 0.3 0.3 0 71
182 118 0 25 0.3 0.3 0 71
178 122 0 30 0.3 0.3 0 71
161 139 0 35 0.3 0.3 0 71
183 117 0 40 0.3 0.3 0 71
195 105 0 45 0.3 0.3 0 71
193 107 0 50 0.3 0.3 0 71
192 108 0 55 0.3 0.3 0 71
181 119 0 60 0.3 0.3 0 71
183 117 0 65 0.3 0.3 0 71
175 125 0 70 0.3 0.3 0 71
208 92 0 75 0.3 0.3 0 71
178 122 0 80 0.3 0.3 0 71
194 106 0 85 0.3 0.3 0 71
